// This table is no longer used; pending removal,Positions,Acceleration,Sprint Speed,Agility,Balance,Jumping,Stamina,Strength,Reactions,Aggression,Composure,Interceptions,Attack Position,Vision,Ball Control,Crossing,Dribbling,Finishing,Free Kick Accuracy,Heading Accuracy,Long Passing,Short Passing,Marking,Shot Power,Long Shots,Standing Tackle,Slide Tackling,Volleys,Curve,Penalties,Diving,Handling,Kicking,Reflexes,Positioning
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserTeamModifier,2,"// for players in the user team league, the overall is computed as (playerOverall + teamOverall*modifier)/(modifier + 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,ScoutLvl1,ScoutLvl2,ScoutLvl3,ScoutLvl4,ScoutLvl5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutResearchAttrSpeed,33,35,37,40,42,"// with every report, reveal this percentage of info about the player. Actual in game value is dependent on FirstTransferWindowSpeedModif and TransferWindowSpeedModif.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutResearchSpeedNumDays,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutResearchSpeedMaxNumDays,5,5,5,5,5,"// when researching more players, the reports will some in slower, but never slower than this value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutResearchSpeedInterpolationStart,10,10,10,10,10,// start slowing down the reports when researching more than this number of players for each scout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaRevealAmount,0.2,0.21,0.22,0.23,0.24,"// speed at which scouts discover players, relative to the total number of players found; i.e. every 8 days discover 0.1 * totalPlayersFound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaRevealNumDays,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaMinPlayers,10,10,10,12,15,"// [min, max] clamp values for the speed at which scouts discover players; i.e. every 8 days discover at least 3 players (if any) and at most 5 players",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaMaxPlayers,15,15,20,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutRevealVariance,5,5,4,3,1,// the variance for the intervals shown for attrbiutes; i.e. attrValue +- 12; a random offset is used so that the actual  attribute value doesn’t fall exactly in the middle of the interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutPotentialVariance,15,15,12,10,1,// the variance for the intervals shown for attrbiutes; i.e. attrValue +- 12; a random offset is used so that the actual  attribute value doesn’t fall exactly in the middle of the interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaRevealWindowNeg,1,1,1,1,1,"// each scout can only find players in a window [-WindowNeg, WindowPos] around the team overall; ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaRevealWindowPos,6,6,6,6,6,"// scouts with large interval windows will find more players; scouts with small interval windows will find less players, but more relevant to the user team overall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutResearchMaxRevealLevel,7,7,7,7,7,// the maximum player reveal level the scout can reach; a level 5 scout will give more detailed info than a level 1 scout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ,Know_1,Know_2,Know_3,Know_4,Know_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutKnowledgePotentialPenalty,20,15,10,5,0,// the penalty that will be added to the variance when scouting the potential value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Reveal level values: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// 0 = strengths only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// 1 = any research (at least one attribute has an interval),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// 2 = all green and yellow attributtes have a ScoutRevealVariance of Lvl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// 3 = all green and yellow attributtes have a ScoutRevealVariance of Lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// 4 = all green and yellow attributtes have a ScoutRevealVariance of Lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// 5 = all green and yellow attributtes have a ScoutRevealVariance of Lvl4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// 6 = all green and yellow attributtes have a ScoutRevealVariance of Lvl5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,"possible values: 1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UseOmissionListMinExperience,3,// the minimum scout experience so that the scout can use the omission list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransferAutoRevealLevel,3,// auto reveal value for transfer listed players; this should be greater or equal than TransferConfidenceMinRevealLevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InquiryRevealLevel,0,// auto reveal value for players after an enquiry; 0 is disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransferConfidenceMinRevealLevel,3,// minimum reveal level so that the user can approach the player to buy; this value cannot be greater than the minimum value in the ScoutResearchMaxRevealLevel line; otherwise some scouts will not be able to accumulate enough transfer confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShowWageRevealLevel,5,// reveal level necessary for showing the wage of the player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShowValueRevealLevel,4,// reveal level necessary for showing the value of the player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecentlyJoinedNumMonthsThreshold,2,// time interval for which a player is considered to have recently joined a team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowContractNumYearsThreshold,1,// time interval for which a player is considered to be low on contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinPlayerTierForFringePlayer,3,// minimum tier for which a player is considered to be a fringe player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstTransferWindowSpeedModif,1,// modifier applied to ScoutResearchAttrSpeed in the first reveal window; greater values will increase the research speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstTransferWindowNumDaysModif,0.5,// modifier applied to ScoutResearchSpeedNumDays in the first reveal window; greater values will decrease the research speed; must be non zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransferWindowSpeedModif,1,// same comments as above for subsequent transfer windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransferWindowNumDaysModif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AreaScoutingAutoRevealLevel,2,// auto reveal value for players found by area scouting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefaultSpeedModif,1,// default modifier applied to ScoutResearchAttrSpeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefaultNumDaysModif,1,// default modifier applied to ScoutResearchSpeedNumDays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaRevealBiasToOverall,1,// used to check if a player is within a scout's reveal window; formula is (biasToOverall*playerOverall + biasToPotential*playerPotential)/(biasToOverall + biasToPotential),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScoutAreaRevealBiasToPotential,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExpirationTimeFullyScoutedPlayers,24,// number of months after which the data for fully scouted players will expire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExpirationTimeAreaScouting,1,// number of months after which area scouted players will expire (the players will be removed from the report),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExpirationTimeFocusScoutingMin,1,// min number of months after which the data for player specific scouted players will expire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExpirationTimeFocusScoutingMax,3,// max number of months after which the data for player specific scouted players will expire; this max value is used when the max scouted level has been reached for that player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamousPlayerMinOverall,79,// can approach to sign any player with the overall greater than this value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamousPlayerMinGreenAttr,10,// can approach to sign any player with the number of green attributes greater than this value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamousPlayerIntRep,3,// can approach to sign any player with the international reputation greater than this value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlayerPotentialVarianceAge,18,22,25,28,99,"// player age, the values below are used for age <= x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlayerPotentialVarianceNeg,4,3,2,1,0,"// when signing new players to the user team, the players will have their potential changed with a random value in the interval [-PlayerPotentialVarianceNeg, PlayerPotentialVariancePos]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlayerPotentialVariancePos,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlayerStatusExpirationNumDays,3,// status icons (new and updated) will expire after simming for this number of days regardless if the reports have been viewed or not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecommendedPlayersNumber,3,// number of recommended players in the scout's report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
