Type,Nation ID,Nation,Star Rating,Minimum Budget,# Clubs,,,,,,,,,Timezone
1,25,Republic of Ireland,0.5,0,0,0,0,0,4,4,50000,100000,100000,0
1,45,Spain,0.5,0,0,0,0,0,4,6,50000,100000,100000,1
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,50000,100000,100000,-6
2,95,U.S. (MLS),2,0,0,0,0,0,6,2,50000,100000,100000,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,50000,100000,100000,-6
2,83,Mexico,2.5,2500000,0,0,0,0,4,4,50000,100000,100000,-6
2,52,Argentina,1.5,0,0,0,0,0,5,3,50000,100000,100000,-3
2,52,Argentina,1.5,0,0,0,0,0,4,4,50000,100000,100000,-3
2,52,Argentina,1.5,0,0,0,0,0,6,2,50000,100000,100000,-3
2,54,Brazil,2,0,0,0,0,0,3,5,50000,100000,100000,-3
2,54,Brazil,2,0,0,0,0,0,4,4,50000,100000,100000,-3
2,54,Brazil,2,0,0,0,0,0,4,4,50000,100000,100000,-3
2,163,Japan,2,0,0,0,0,0,3,5,50000,100000,100000,9
2,163,Japan,2,0,0,0,0,0,3,5,50000,100000,100000,9
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,50000,100000,100000,3
2,183,Saudi Arabia,1,0,0,0,0,0,3,5,50000,100000,100000,3
2,195,Australia,1,0,0,0,0,0,3,5,50000,100000,100000,10
2,195,Australia,1,0,0,0,0,0,3,5,50000,100000,100000,10
2,167,Korea,1,0,0,0,0,0,3,5,50000,100000,100000,9
2,167,Korea,1,0,0,0,0,0,3,5,50000,100000,100000,9
2,155,China,1,0,0,0,0,0,3,5,50000,100000,100000,8
2,155,China,1,0,0,0,0,0,3,5,50000,100000,100000,8
2,*,Any,0.5,0,0,0,0,0,9,0,50000,100000,100000,0
2,*,Any,0.5,0,0,0,0,0,9,0,50000,100000,100000,0
2,*,Any,0.5,0,0,0,0,0,9,0,50000,100000,100000,0
